"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"2406502";"Lagoa Nova (RN)";"269035,64"
"2406601";"Lagoa Salgada (RN)";"94312,75"
"2406700";"Lajes (RN)";"165929,59"
"2406809";"Lajes Pintadas (RN)";"51594,84"
"2406908";"Lucrécia (RN)";"51510,10"
"2407005";"Luís Gomes (RN)";"87826,93"
"2407104";"Macaíba (RN)";"1828152,02"
"2407203";"Macau (RN)";"1111123,07"
"2407252";"Major Sales (RN)";"48004,09"
"2407302";"Marcelino Vieira (RN)";"82890,17"
"2407401";"Martins (RN)";"108195,37"
"2407500";"Maxaranguape (RN)";"134894,34"
"2407609";"Messias Targino (RN)";"55530,26"
"2407708";"Montanhas (RN)";"130284,46"
"2407807";"Monte Alegre (RN)";"271455,67"
"2407906";"Monte das Gameleiras (RN)";"32366,90"
"2408003";"Mossoró (RN)";"8071762,20"
"2408102";"Natal (RN)";"24186261,54"
"2408201";"Nísia Floresta (RN)";"474721,76"
"2408300";"Nova Cruz (RN)";"560501,06"
"2408409";"Olho d'Água do Borges (RN)";"47533,09"
"2408508";"Ouro Branco (RN)";"61704,35"
"2408607";"Paraná (RN)";"43931,53"
"2408706";"Paraú (RN)";"55257,54"
"2408805";"Parazinho (RN)";"606241,15"
"2408904";"Parelhas (RN)";"368927,22"
"2408953";"Rio do Fogo (RN)";"185592,78"
"2409100";"Passa e Fica (RN)";"152324,32"
"2409209";"Passagem (RN)";"46129,16"
"2409308";"Patu (RN)";"160913,67"
"2409332";"Santa Maria (RN)";"78032,47"
"2409407";"Pau dos Ferros (RN)";"709333,07"
"2409506";"Pedra Grande (RN)";"293284,60"
"2409605";"Pedra Preta (RN)";"36127,61"
"2409704";"Pedro Avelino (RN)";"79995,93"
"2409803";"Pedro Velho (RN)";"173618,89"
"2409902";"Pendências (RN)";"757494,15"
"2410009";"Pilões (RN)";"41829,44"
"2410108";"Poço Branco (RN)";"131861,54"
"2410207";"Portalegre (RN)";"78934,22"
"2410256";"Porto do Mangue (RN)";"149472,87"
"2410306";"Serra Caiada (RN)";"109307,65"
"2410405";"Pureza (RN)";"169430,45"
"2410504";"Rafael Fernandes (RN)";"53271,22"
"2410603";"Rafael Godeiro (RN)";"43451,39"
"2410702";"Riacho da Cruz (RN)";"37507,56"
"2410801";"Riacho de Santana (RN)";"43513,57"
"2410900";"Riachuelo (RN)";"192157,80"
"2411007";"Rodolfo Fernandes (RN)";"59193,55"
"2411056";"Tibau (RN)";"115024,12"
"2411106";"Ruy Barbosa (RN)";"126773,34"
"2411205";"Santa Cruz (RN)";"619042,22"
"2411403";"Santana do Matos (RN)";"147039,96"
"2411429";"Santana do Seridó (RN)";"36354,38"
"2411502";"Santo Antônio (RN)";"302536,80"
"2411601";"São Bento do Norte (RN)";"549242,83"
"2411700";"São Bento do Trairí (RN)";"45623,72"
"2411809";"São Fernando (RN)";"63597,56"
"2411908";"São Francisco do Oeste (RN)";"54448,08"
"2412005";"São Gonçalo do Amarante (RN)";"1905023,47"
"2412104";"São João do Sabugi (RN)";"84586,36"
"2412203";"São José de Mipibu (RN)";"1040963,57"
"2412302";"São José do Campestre (RN)";"125092,54"
"2412401";"São José do Seridó (RN)";"83855,03"
"2412500";"São Miguel (RN)";"319743,90"
"2412559";"São Miguel do Gostoso (RN)";"492640,41"
"2412609";"São Paulo do Potengi (RN)";"231555,23"
"2412708";"São Pedro (RN)";"55800,64"
"2412807";"São Rafael (RN)";"88675,73"
"2412906";"São Tomé (RN)";"111775,60"
"2413003";"São Vicente (RN)";"76921,88"
"2413102";"Senador Elói de Souza (RN)";"60476,25"
"2413201";"Senador Georgino Avelino (RN)";"116487,00"
"2413300";"Serra de São Bento (RN)";"57410,69"
"2413359";"Serra do Mel (RN)";"858723,71"
"2413409";"Serra Negra do Norte (RN)";"118875,62"
"2413508";"Serrinha (RN)";"71898,67"
"2413557";"Serrinha dos Pintos (RN)";"49787,33"
"2413607";"Severiano Melo (RN)";"63099,52"
"2413706";"Sítio Novo (RN)";"53784,39"
"2413805";"Taboleiro Grande (RN)";"32472,96"
"2413904";"Taipu (RN)";"155199,30"
"2414001";"Tangará (RN)";"201785,04"
"2414100";"Tenente Ananias (RN)";"113587,91"
"2414159";"Tenente Laurentino Cruz (RN)";"107285,77"
"2414209";"Tibau do Sul (RN)";"415832,51"
"2414308";"Timbaúba dos Batistas (RN)";"43618,32"
"2414407";"Touros (RN)";"814844,69"
"2414456";"Triunfo Potiguar (RN)";"45830,86"
"2414506";"Umarizal (RN)";"151207,35"
"2414605";"Upanema (RN)";"214155,41"
"2414704";"Várzea (RN)";"56556,45"
"2414753";"Venha-Ver (RN)";"43203,08"
"2414803";"Vera Cruz (RN)";"133471,43"
"2414902";"Viçosa (RN)";"23238,93"
"2415008";"Vila Flor (RN)";"44404,07"
"2500106";"Água Branca (PB)";"92036,23"
"2500205";"Aguiar (PB)";"60096,47"
"2500304";"Alagoa Grande (PB)";"300115,91"
"2500403";"Alagoa Nova (PB)";"335056,34"
"2500502";"Alagoinha (PB)";"138510,26"
"2500536";"Alcantil (PB)";"55096,99"
"2500577";"Algodão de Jandaíra (PB)";"28629,39"
"2500601";"Alhandra (PB)";"3399775,21"
"2500700";"São João do Rio do Peixe (PB)";"225531,02"
"2500734";"Amparo (PB)";"29433,01"
"2500775";"Aparecida (PB)";"105225,69"
"2500809";"Araçagi (PB)";"185877,41"
"2500908";"Arara (PB)";"112307,59"
"2501005";"Araruna (PB)";"204298,38"
"2501104";"Areia (PB)";"257221,88"
"2501153";"Areia de Baraúnas (PB)";"26095,48"
"2501203";"Areial (PB)";"62577,70"
"2501302";"Aroeiras (PB)";"167984,98"
"2501351";"Assunção (PB)";"48497,52"
"2501401";"Baía da Traição (PB)";"107853,69"
"2501500";"Bananeiras (PB)";"278904,46"
"2501534";"Baraúna (PB)";"49783,68"
"2501575";"Barra de Santana (PB)";"90800,73"
"2501609";"Barra de Santa Rosa (PB)";"150844,68"
"2501708";"Barra de São Miguel (PB)";"84814,93"
"2501807";"Bayeux (PB)";"1366842,23"
"2501906";"Belém (PB)";"218066,95"
"2502003";"Belém do Brejo do Cruz (PB)";"78556,97"
"2502052";"Bernardino Batista (PB)";"40037,05"
"2502102";"Boa Ventura (PB)";"51614,97"
"2502151";"Boa Vista (PB)";"206386,78"
"2502201";"Bom Jesus (PB)";"32050,82"
"2502300";"Bom Sucesso (PB)";"54512,89"
"2502409";"Bonito de Santa Fé (PB)";"96548,89"
"2502508";"Boqueirão (PB)";"256636,47"
"2502607";"Igaracy (PB)";"60774,46"
"2502706";"Borborema (PB)";"69205,24"
"2502805";"Brejo do Cruz (PB)";"147154,42"
"2502904";"Brejo dos Santos (PB)";"64311,48"
"2503001";"Caaporã (PB)";"467127,33"
"2503100";"Cabaceiras (PB)";"116487,32"
"2503209";"Cabedelo (PB)";"3152546,13"
"2503308";"Cachoeira dos Índios (PB)";"124811,02"
"2503407";"Cacimba de Areia (PB)";"39105,75"
"2503506";"Cacimba de Dentro (PB)";"154035,60"
"2503555";"Cacimbas (PB)";"67103,48"
"2503605";"Caiçara (PB)";"65660,66"
"2503704";"Cajazeiras (PB)";"1231739,66"
"2503753";"Cajazeirinhas (PB)";"42008,53"
"2503803";"Caldas Brandão (PB)";"74706,15"
"2503902";"Camalaú (PB)";"71641,77"
"2504009";"Campina Grande (PB)";"10373107,31"
"2504033";"Capim (PB)";"75638,49"
"2504074";"Caraúbas (PB)";"42197,48"
"2504108";"Carrapateira (PB)";"30950,21"
"2504157";"Casserengue (PB)";"70017,62"
"2504207";"Catingueira (PB)";"52898,76"
"2504306";"Catolé do Rocha (PB)";"505606,68"
"2504355";"Caturité (PB)";"61665,13"
"2504405";"Conceição (PB)";"209009,71"
"2504504";"Condado (PB)";"90373,02"
"2504603";"Conde (PB)";"1286990,46"
"2504702";"Congo (PB)";"61704,48"
"2504801";"Coremas (PB)";"249600,86"
"2504850";"Coxixola (PB)";"24016,78"
"2504900";"Cruz do Espírito Santo (PB)";"191194,21"
"2505006";"Cubati (PB)";"76814,20"
"2505105";"Cuité (PB)";"220439,46"
"2505204";"Cuitegi (PB)";"66741,61"
"2505238";"Cuité de Mamanguape (PB)";"74110,45"
"2505279";"Curral de Cima (PB)";"55525,90"
"2505303";"Curral Velho (PB)";"26783,16"
"2505352";"Damião (PB)";"50276,50"
"2505402";"Desterro (PB)";"72714,77"
"2505501";"Vista Serrana (PB)";"39389,72"
"2505600";"Diamante (PB)";"59344,72"
"2505709";"Dona Inês (PB)";"93830,21"
"2505808";"Duas Estradas (PB)";"45025,16"
"2505907";"Emas (PB)";"41639,40"
"2506004";"Esperança (PB)";"507255,86"
"2506103";"Fagundes (PB)";"105312,05"
"2506202";"Frei Martinho (PB)";"30263,99"
"2506251";"Gado Bravo (PB)";"76210,52"
"2506301";"Guarabira (PB)";"1790167,56"
"2506400";"Gurinhém (PB)";"150969,87"
"2506509";"Gurjão (PB)";"38324,16"
"2506608";"Ibiara (PB)";"57772,49"
"2506707";"Imaculada (PB)";"98313,70"
"2506806";"Ingá (PB)";"194960,75"
"2506905";"Itabaiana (PB)";"335812,27"
"2507002";"Itaporanga (PB)";"341234,78"
"2507101";"Itapororoca (PB)";"206432,67"
"2507200";"Itatuba (PB)";"155216,28"
"2507309";"Jacaraú (PB)";"165129,83"
"2507408";"Jericó (PB)";"76303,42"
"2507507";"João Pessoa (PB)";"22244284,13"
"2507606";"Juarez Távora (PB)";"73120,51"
"2507705";"Juazeirinho (PB)";"210328,81"
"2507804";"Junco do Seridó (PB)";"96602,33"
"2507903";"Juripiranga (PB)";"117362,74"
"2508000";"Juru (PB)";"87265,56"
"2508109";"Lagoa (PB)";"51231,78"
"2508208";"Lagoa de Dentro (PB)";"83536,72"
"2508307";"Lagoa Seca (PB)";"309762,98"
"2508406";"Lastro (PB)";"29494,94"
"2508505";"Livramento (PB)";"70043,14"
"2508554";"Logradouro (PB)";"48650,65"
"2508604";"Lucena (PB)";"223066,28"
"2508703";"Mãe d'Água (PB)";"38603,90"
"2508802";"Malta (PB)";"79658,81"
"2508901";"Mamanguape (PB)";"805007,15"
"2509008";"Manaíra (PB)";"101427,66"
"2509057";"Marcação (PB)";"95669,87"
"2509107";"Mari (PB)";"241807,48"
"2509156";"Marizópolis (PB)";"81943,50"
"2509206";"Massaranduba (PB)";"130381,18"
"2509305";"Mataraca (PB)";"240531,45"
"2509339";"Matinhas (PB)";"54035,49"
"2509370";"Mato Grosso (PB)";"31800,57"
"2509396";"Maturéia (PB)";"61810,58"
"2509404";"Mogeiro (PB)";"164371,52"
"2509503";"Montadas (PB)";"55244,52"
"2509602";"Monte Horebe (PB)";"48074,10"
"2509701";"Monteiro (PB)";"635379,84"
"2509800";"Mulungu (PB)";"98149,69"
"2509909";"Natuba (PB)";"95464,76"
"2510006";"Nazarezinho (PB)";"65965,10"
"2510105";"Nova Floresta (PB)";"99605,67"
"2510204";"Nova Olinda (PB)";"57801,88"
"2510303";"Nova Palmeira (PB)";"48983,40"
"2510402";"Olho d'Água (PB)";"61850,67"
"2510501";"Olivedos (PB)";"43584,75"
"2510600";"Ouro Velho (PB)";"38279,24"
"2510659";"Parari (PB)";"21495,18"
"2510709";"Passagem (PB)";"28859,81"
"2510808";"Patos (PB)";"1993586,15"
"2510907";"Paulista (PB)";"157013,70"
"2511004";"Pedra Branca (PB)";"37462,93"
"2511103";"Pedra Lavrada (PB)";"80074,51"
"2511202";"Pedras de Fogo (PB)";"556476,25"
"2511301";"Piancó (PB)";"206302,42"
"2511400";"Picuí (PB)";"213192,09"
"2511509";"Pilar (PB)";"121700,42"
"2511608";"Pilões (PB)";"95436,02"
"2511707";"Pilõezinhos (PB)";"51216,07"
"2511806";"Pirpirituba (PB)";"95103,26"
"2511905";"Pitimbu (PB)";"430316,39"
"2512002";"Pocinhos (PB)";"284640,06"
"2512036";"Poço Dantas (PB)";"40230,20"
"2512077";"Poço de José de Moura (PB)";"46792,20"
"2512101";"Pombal (PB)";"465067,62"
"2512200";"Prata (PB)";"64687,73"
"2512309";"Princesa Isabel (PB)";"266344,99"
"2512408";"Puxinanã (PB)";"137836,79"
"2512507";"Queimadas (PB)";"605758,84"
"2512606";"Quixaba (PB)";"26745,51"
"2512705";"Remígio (PB)";"181359,95"
"2512721";"Pedro Régis (PB)";"57185,97"
"2512747";"Riachão (PB)";"36492,13"
"2512754";"Riachão do Bacamarte (PB)";"50101,00"
"2512762";"Riachão do Poço (PB)";"56186,60"
"2512788";"Riacho de Santo Antônio (PB)";"30562,11"
"2512804";"Riacho dos Cavalos (PB)";"92585,08"
"2512903";"Rio Tinto (PB)";"321971,36"
"2513000";"Salgadinho (PB)";"33443,70"
"2513109";"Salgado de São Félix (PB)";"128635,61"
"2513158";"Santa Cecília (PB)";"65649,35"
"2513208";"Santa Cruz (PB)";"62113,75"
"2513307";"Santa Helena (PB)";"62162,22"
"2513356";"Santa Inês (PB)";"36755,80"
"2513406";"Santa Luzia (PB)";"372292,27"
"2513505";"Santana de Mangueira (PB)";"51046,00"
"2513604";"Santana dos Garrotes (PB)";"67142,26"
"2513653";"Joca Claudino (PB)";"33004,27"
"2513703";"Santa Rita (PB)";"2616825,49"
"2513802";"Santa Teresinha (PB)";"57190,95"
"2513851";"Santo André (PB)";"29350,31"
"2513901";"São Bento (PB)";"567017,40"
"2513927";"São Bentinho (PB)";"55030,25"
"2513943";"São Domingos do Cariri (PB)";"28699,16"
"2513968";"São Domingos (PB)";"36166,95"
"2513984";"São Francisco (PB)";"39118,05"
"2514008";"São João do Cariri (PB)";"55295,08"
"2514107";"São João do Tigre (PB)";"40920,28"
"2514206";"São José da Lagoa Tapada (PB)";"71953,70"
"2514305";"São José de Caiana (PB)";"55613,64"
"2514404";"São José de Espinharas (PB)";"54850,40"
"2514453";"São José dos Ramos (PB)";"86594,66"
"2514503";"São José de Piranhas (PB)";"230383,35"
"2514552";"São José de Princesa (PB)";"34031,21"
"2514602";"São José do Bonfim (PB)";"32366,11"
"2514651";"São José do Brejo do Cruz (PB)";"29091,42"
"2514701";"São José do Sabugi (PB)";"125141,54"
"2514800";"São José dos Cordeiros (PB)";"36927,26"
"2514909";"São Mamede (PB)";"82237,83"
"2515005";"São Miguel de Taipu (PB)";"82625,82"
"2515104";"São Sebastião de Lagoa de Roça (PB)";"105790,91"
"2515203";"São Sebastião do Umbuzeiro (PB)";"40405,30"
"2515302";"Sapé (PB)";"675778,31"
"2515401";"São Vicente do Seridó (PB)";"89888,44"
"2515500";"Serra Branca (PB)";"147661,66"
"2515609";"Serra da Raiz (PB)";"37034,05"
"2515708";"Serra Grande (PB)";"33183,29"
"2515807";"Serra Redonda (PB)";"71218,26"
"2515906";"Serraria (PB)";"67689,94"
"2515930";"Sertãozinho (PB)";"54676,32"
"2515971";"Sobrado (PB)";"112658,78"
"2516003";"Solânea (PB)";"353078,44"
"2516102";"Soledade (PB)";"203479,63"
"2516151";"Sossêgo (PB)";"38718,86"
"2516201";"Sousa (PB)";"1318528,63"
"2516300";"Sumé (PB)";"200876,66"
"2516409";"Tacima (PB)";"91695,55"
"2516508";"Taperoá (PB)";"139192,25"
"2516607";"Tavares (PB)";"139899,91"
"2516706";"Teixeira (PB)";"169084,80"
"2516755";"Tenório (PB)";"34478,11"
"2516805";"Triunfo (PB)";"87467,92"
"2516904";"Uiraúna (PB)";"192520,43"
"2517001";"Umbuzeiro (PB)";"91142,06"
"2517100";"Várzea (PB)";"37561,25"
"2517209";"Vieirópolis (PB)";"52688,69"
"2517407";"Zabelê (PB)";"26960,58"
"2600054";"Abreu e Lima (PE)";"1724257,66"
"2600104";"Afogados da Ingazeira (PE)";"541816,47"
"2600203";"Afrânio (PE)";"209814,56"
"2600302";"Agrestina (PE)";"352858,43"
"2600401";"Água Preta (PE)";"259866,49"
"2600500";"Águas Belas (PE)";"401110,73"
"2600609";"Alagoinha (PE)";"144944,93"
"2600708";"Aliança (PE)";"413314,49"
"2600807";"Altinho (PE)";"222588,80"
"2600906";"Amaraji (PE)";"294407,13"
"2601003";"Angelim (PE)";"142259,86"
"2601052";"Araçoiaba (PE)";"161884,45"
"2601102";"Araripina (PE)";"1272091,77"
"2601201";"Arcoverde (PE)";"1215382,89"
"2601300";"Barra de Guabiraba (PE)";"146942,97"
"2601409";"Barreiros (PE)";"503988,29"
"2601508";"Belém de Maria (PE)";"99499,45"
"2601607";"Belém do São Francisco (PE)";"366293,14"
"2601706";"Belo Jardim (PE)";"2765036,42"
"2601805";"Betânia (PE)";"105307,49"
"2601904";"Bezerros (PE)";"962826,02"
"2602001";"Bodocó (PE)";"317010,41"
"2602100";"Bom Conselho (PE)";"643150,61"
"2602209";"Bom Jardim (PE)";"366987,87"
"2602308";"Bonito (PE)";"539340,17"
"2602407";"Brejão (PE)";"183678,55"
"2602506";"Brejinho (PE)";"83878,51"
"2602605";"Brejo da Madre de Deus (PE)";"461357,18"
"2602704";"Buenos Aires (PE)";"133151,67"
"2602803";"Buíque (PE)";"549014,69"
"2602902";"Cabo de Santo Agostinho (PE)";"13706388,88"
"2603009";"Cabrobó (PE)";"440863,49"
"2603108";"Cachoeirinha (PE)";"254368,82"
"2603207";"Caetés (PE)";"423726,62"
"2603306";"Calçado (PE)";"115298,87"
"2603405";"Calumbi (PE)";"50300,00"
"2603454";"Camaragibe (PE)";"2229679,55"
"2603504";"Camocim de São Félix (PE)";"181160,71"
"2603603";"Camutanga (PE)";"285368,85"
"2603702";"Canhotinho (PE)";"253171,47"
"2603801";"Capoeiras (PE)";"244053,55"
"2603900";"Carnaíba (PE)";"193545,51"
"2603926";"Carnaubeira da Penha (PE)";"83422,74"
"2604007";"Carpina (PE)";"1744915,05"
"2604106";"Caruaru (PE)";"8663524,84"
"2604155";"Casinhas (PE)";"101521,11"
"2604205";"Catende (PE)";"360566,49"
"2604304";"Cedro (PE)";"125401,27"
"2604403";"Chã de Alegria (PE)";"168757,84"
"2604502";"Chã Grande (PE)";"251192,83"
"2604601";"Condado (PE)";"250915,37"
"2604700";"Correntes (PE)";"192015,50"
"2604809";"Cortês (PE)";"121502,41"
"2604908";"Cumaru (PE)";"109260,12"
"2605004";"Cupira (PE)";"283576,11"
"2605103";"Custódia (PE)";"593879,93"
"2605152";"Dormentes (PE)";"246022,56"
"2605202";"Escada (PE)";"1306431,05"
"2605301";"Exu (PE)";"325117,20"
"2605400";"Feira Nova (PE)";"247549,74"
"2605459";"Fernando de Noronha (PE)";"229561,57"
"2605509";"Ferreiros (PE)";"132502,79"
"2605608";"Flores (PE)";"192901,67"
"2605707";"Floresta (PE)";"445213,14"
"2605806";"Frei Miguelinho (PE)";"131441,26"
"2605905";"Gameleira (PE)";"274257,65"
"2606002";"Garanhuns (PE)";"3077111,83"
"2606101";"Glória do Goitá (PE)";"554616,35"
"2606200";"Goiana (PE)";"10662963,85"
"2606309";"Granito (PE)";"78431,65"
"2606408";"Gravatá (PE)";"1359681,44"
"2606507";"Iati (PE)";"195800,31"
"2606606";"Ibimirim (PE)";"330118,95"
"2606705";"Ibirajuba (PE)";"85527,39"
"2606804";"Igarassu (PE)";"3471426,91"
"2606903";"Iguaracy (PE)";"112369,31"
"2607000";"Inajá (PE)";"196879,96"
"2607109";"Ingazeira (PE)";"50497,19"
"2607208";"Ipojuca (PE)";"14929346,49"
"2607307";"Ipubi (PE)";"340374,47"
"2607406";"Itacuruba (PE)";"71285,98"
"2607505";"Itaíba (PE)";"283413,47"
"2607604";"Ilha de Itamaracá (PE)";"299232,34"
"2607653";"Itambé (PE)";"522657,42"
"2607703";"Itapetim (PE)";"139873,24"
"2607752";"Itapissuma (PE)";"2383640,54"
"2607802";"Itaquitinga (PE)";"160856,66"
"2607901";"Jaboatão dos Guararapes (PE)";"16133556,25"
"2607950";"Jaqueira (PE)";"111801,47"
"2608008";"Jataúba (PE)";"154862,06"
"2608057";"Jatobá (PE)";"153792,82"
"2608107";"João Alfredo (PE)";"316644,15"
"2608206";"Joaquim Nabuco (PE)";"181310,26"
"2608255";"Jucati (PE)";"129269,99"
"2608305";"Jupi (PE)";"214224,31"
"2608404";"Jurema (PE)";"132839,97"
"2608453";"Lagoa do Carro (PE)";"300634,52"
"2608503";"Lagoa de Itaenga (PE)";"482858,55"
"2608602";"Lagoa do Ouro (PE)";"139223,06"
"2608701";"Lagoa dos Gatos (PE)";"135442,68"
"2608750";"Lagoa Grande (PE)";"456843,60"
"2608800";"Lajedo (PE)";"585575,82"
"2608909";"Limoeiro (PE)";"838342,78"
"2609006";"Macaparana (PE)";"283578,09"
"2609105";"Machados (PE)";"216295,27"
"2609154";"Manari (PE)";"139153,11"
"2609204";"Maraial (PE)";"92489,61"
"2609303";"Mirandiba (PE)";"163405,62"
"2609402";"Moreno (PE)";"892506,36"
"2609501";"Nazaré da Mata (PE)";"688467,95"
"2609600";"Olinda (PE)";"5788249,96"
"2609709";"Orobó (PE)";"398794,43"
"2609808";"Orocó (PE)";"186447,62"
"2609907";"Ouricuri (PE)";"780512,69"
"2610004";"Palmares (PE)";"924145,71"
"2610103";"Palmeirina (PE)";"79959,02"
"2610202";"Panelas (PE)";"229556,34"
"2610301";"Paranatama (PE)";"285773,33"
"2610400";"Parnamirim (PE)";"213190,38"
"2610509";"Passira (PE)";"264546,75"
"2610608";"Paudalho (PE)";"926328,02"
"2610707";"Paulista (PE)";"5591651,53"
"2610806";"Pedra (PE)";"306398,45"
"2610905";"Pesqueira (PE)";"869650,98"
"2611002";"Petrolândia (PE)";"1675876,17"
"2611101";"Petrolina (PE)";"7994036,42"
"2611200";"Poção (PE)";"102107,08"
"2611309";"Pombos (PE)";"532583,09"
"2611408";"Primavera (PE)";"291695,71"
"2611507";"Quipapá (PE)";"192324,99"
"2611533";"Quixaba (PE)";"67064,24"
"2611606";"Recife (PE)";"54970305,43"
"2611705";"Riacho das Almas (PE)";"260563,15"
"2611804";"Ribeirão (PE)";"576406,60"
"2611903";"Rio Formoso (PE)";"379871,38"
"2612000";"Sairé (PE)";"176225,32"
"2612109";"Salgadinho (PE)";"80938,43"
"2612208";"Salgueiro (PE)";"1002105,38"
"2612307";"Saloá (PE)";"171050,93"
"2612406";"Sanharó (PE)";"248264,48"
"2612455";"Santa Cruz (PE)";"133591,62"
"2612471";"Santa Cruz da Baixa Verde (PE)";"113553,79"
"2612505";"Santa Cruz do Capibaribe (PE)";"1925733,51"
"2612554";"Santa Filomena (PE)";"111829,71"
"2612604";"Santa Maria da Boa Vista (PE)";"563999,76"
"2612703";"Santa Maria do Cambucá (PE)";"122261,92"
"2612802";"Santa Terezinha (PE)";"114824,15"
"2612901";"São Benedito do Sul (PE)";"117016,67"
"2613008";"São Bento do Una (PE)";"1485705,93"
"2613107";"São Caitano (PE)";"447678,66"
"2613206";"São João (PE)";"390210,54"
"2613305";"São Joaquim do Monte (PE)";"185466,68"
"2613404";"São José da Coroa Grande (PE)";"291007,41"
"2613503";"São José do Belmonte (PE)";"341543,95"
"2613602";"São José do Egito (PE)";"441117,37"
"2613701";"São Lourenço da Mata (PE)";"1444200,16"
"2613800";"São Vicente Férrer (PE)";"209528,12"
"2613909";"Serra Talhada (PE)";"1693347,30"
"2614006";"Serrita (PE)";"161152,64"
"2614105";"Sertânia (PE)";"367388,67"
"2614204";"Sirinhaém (PE)";"722495,02"
"2614303";"Moreilândia (PE)";"90987,14"
"2614402";"Solidão (PE)";"56660,70"
"2614501";"Surubim (PE)";"915557,84"
"2614600";"Tabira (PE)";"314902,85"
"2614709";"Tacaimbó (PE)";"149158,91"
"2614808";"Tacaratu (PE)";"251978,43"
"2614857";"Tamandaré (PE)";"395834,25"
"2615003";"Taquaritinga do Norte (PE)";"334641,96"
"2615102";"Terezinha (PE)";"75618,36"
"2615201";"Terra Nova (PE)";"95262,23"
"2615300";"Timbaúba (PE)";"746606,92"
"2615409";"Toritama (PE)";"764572,35"
"2615508";"Tracunhaém (PE)";"176619,05"
"2615607";"Trindade (PE)";"419024,45"
"2615706";"Triunfo (PE)";"157357,63"
"2615805";"Tupanatinga (PE)";"227130,16"
"2615904";"Tuparetama (PE)";"89138,57"
"2616001";"Venturosa (PE)";"247348,96"
"2616100";"Verdejante (PE)";"80930,64"
"2616183";"Vertente do Lério (PE)";"74060,30"
"2616209";"Vertentes (PE)";"194510,53"
"2616308";"Vicência (PE)";"519425,66"
"2616407";"Vitória de Santo Antão (PE)";"4551843,20"
"2616506";"Xexéu (PE)";"141411,22"
"2700102";"Água Branca (AL)";"202654,66"
"2700201";"Anadia (AL)";"250457,47"
"2700300";"Arapiraca (AL)";"5915937,69"
"2700409";"Atalaia (AL)";"1500344,10"
"2700508";"Barra de Santo Antônio (AL)";"262005,12"
"2700607";"Barra de São Miguel (AL)";"238430,79"
"2700706";"Batalha (AL)";"229932,74"
"2700805";"Belém (AL)";"191318,36"
"2700904";"Belo Monte (AL)";"151386,63"
"2701001";"Boca da Mata (AL)";"506027,82"
"2701100";"Branquinha (AL)";"775409,70"
"2701209";"Cacimbinhas (AL)";"140460,89"
"2701308";"Cajueiro (AL)";"207869,37"
"2701357";"Campestre (AL)";"87758,97"
"2701407";"Campo Alegre (AL)";"734648,02"
"2701506";"Campo Grande (AL)";"106114,13"
"2701605";"Canapi (AL)";"166475,44"
"2701704";"Capela (AL)";"247980,90"
"2701803";"Carneiros (AL)";"90775,17"
"2701902";"Chã Preta (AL)";"175470,65"
"2702009";"Coité do Nóia (AL)";"211484,48"
"2702108";"Colônia Leopoldina (AL)";"397369,17"
"2702207";"Coqueiro Seco (AL)";"96035,53"
"2702306";"Coruripe (AL)";"1782442,34"
"2702355";"Craíbas (AL)";"480701,68"
"2702405";"Delmiro Gouveia (AL)";"673799,77"
"2702504";"Dois Riachos (AL)";"105248,37"
"2702553";"Estrela de Alagoas (AL)";"154328,59"
"2702603";"Feira Grande (AL)";"427545,19"
"2702702";"Feliz Deserto (AL)";"164023,46"
"2702801";"Flexeiras (AL)";"297765,47"
"2702900";"Girau do Ponciano (AL)";"549523,42"
"2703007";"Ibateguara (AL)";"196463,11"
"2703106";"Igaci (AL)";"311913,66"
"2703205";"Igreja Nova (AL)";"571817,49"
"2703304";"Inhapi (AL)";"174740,67"
"2703403";"Jacaré dos Homens (AL)";"74939,91"
"2703502";"Jacuípe (AL)";"194514,47"
"2703601";"Japaratinga (AL)";"251980,22"
"2703700";"Jaramataia (AL)";"77881,65"
"2703759";"Jequiá da Praia (AL)";"381988,73"
"2703809";"Joaquim Gomes (AL)";"520954,82"
"2703908";"Jundiá (AL)";"54787,25"
"2704005";"Junqueiro (AL)";"550023,79"
"2704104";"Lagoa da Canoa (AL)";"273016,12"
"2704203";"Limoeiro de Anadia (AL)";"685127,20"
"2704302";"Maceió (AL)";"27484016,31"
"2704401";"Major Isidoro (AL)";"283425,05"
"2704500";"Maragogi (AL)";"1118831,14"
"2704609";"Maravilha (AL)";"90740,00"
"2704708";"Marechal Deodoro (AL)";"3409482,66"
"2704807";"Maribondo (AL)";"187982,23"
"2704906";"Mar Vermelho (AL)";"50940,40"
"2705002";"Mata Grande (AL)";"354593,89"
"2705101";"Matriz de Camaragibe (AL)";"385866,08"
"2705200";"Messias (AL)";"221089,59"
"2705309";"Minador do Negrão (AL)";"74499,70"
"2705408";"Monteirópolis (AL)";"80981,34"
"2705507";"Murici (AL)";"588107,59"
"2705606";"Novo Lino (AL)";"187225,66"
"2705705";"Olho d'Água das Flores (AL)";"271774,97"
"2705804";"Olho d'Água do Casado (AL)";"92932,96"
"2705903";"Olho d'Água Grande (AL)";"69585,97"
